,id,type,english_label,longitude,latitude,english_desc
0,Q31,item,Belgium,4.6680555555556,50.641111111111,country in western Europe since 1830
1,Q45,item,Portugal,-9.1833333333333,38.7,country in southwestern Europe
2,Q51,item,Antarctica,0.0,-90.0,polar continent in the southern hemisphere
3,Q148,item,People's Republic of China,103.45194444444445,35.844722222222224,state in East Asia
4,Q155,item,Brazil,-53.0,-14.0,country in South America
5,Q163,item,Yorkshire,-1.0833333333333,53.958333333333,historic county of England
6,Q183,item,Germany,10.0,51.0,country in Central Europe
7,Q233,item,Malta,14.5,35.883333333333,sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea
8,Q278,item,Talisker distillery,-6.3561111111111,57.302777777778,"whisky distillery in Highland, Scotland, UK"
9,Q288,item,Tours,0.68833333333333,47.392777777778,"city and commune in Indre-et-Loire, Centre-Val de Loire, France"
10,Q298,item,Chile,-71.0,-33.0,sovereign state in South America
11,Q398,item,Bahrain,50.551111,26.0675,sovereign state in Southwest Asia
12,Q433,item,Gmina Kurów,22.183333333333,51.383333333333,Polish rural gmina in Lublin Voivodeship
13,Q443,item,Ich bin ein Berliner,13.344395,52.484932,speech given by John F. Kennedy in West Berlin in June 1963
14,Q463,item,Rhône-Alpes,4.8194472222222,45.740186111111,former administrative region of France
15,Q511,item,Museum of Fine Arts of Lyon,4.8336111111111,45.766944444444,"art museum in Lyon, France"
16,Q524,item,Mount Vesuvius,14.425555555556,40.821388888889,volcano on the southwestern coast of Italy
17,Q550,item,avenue des Champs-Élysées,2.30786,48.86967,"avenue in Paris, France"
18,Q585,item,Oslo,10.752777777778,59.911111111111,capital city of Norway
19,Q586,item,Bonn,7.0997222222222,50.733888888889,city in and former capital of Germany
20,Q597,item,Lisbon,-9.139016,38.708042,capital city of Portugal
21,Q616,item,Beaujolais wine,4.65,46.15,wine from the Beaujolais region of France
22,Q643,item,Po,7.0930555555556,44.701444444444,longest river in Italy
23,Q647,item,Rennes,-1.6808333333333,48.114166666667,"commune in Ille-et-Vilaine, France"
24,Q648,item,Lille,3.0575,50.631944444444,"commune in Nord, France"
25,Q686,item,Vanuatu,168.01666944444,-16.633330555556,sovereign state situated on an archipelago in the South Pacific Ocean
26,Q694,item,South Holland,4.6666666666667,52.0,province of the Netherlands
