,id,type,english_label,longitude,latitude,english_desc
0,Q391566,item,Qu'Appelle River,-106.4345,50.9834,river in Canada
1,Q391592,item,Šilo,14.666555555556,45.147583333333,human settlement
2,Q391623,item,"Torralba, Sardinia",8.7648582,40.5134729,Italian comune
3,Q391626,item,Šilutė,21.483333333333,55.35,city
4,Q391673,item,Šintava,17.7531743,48.2828561,municipality of Slovakia
5,Q391727,item,Širvinta,24.5554,55.1094,"river in Lithuania, tributary of Šventoji"
6,Q391753,item,Šitbořice,16.779759972995,49.014351207768,village in Břeclav District of South Moravian region
7,Q391774,item,Šišov,18.18185,48.656047222222,municipality of Slovakia
8,Q391851,item,Meroux,6.9,47.595555555556,"former commune in Territoire de Belfort, France"
9,Q391938,item,Shchastia,39.231111111111,48.738055555556,"City in Luhansk Oblast, Ukraine"
10,Q392025,item,Fislis,7.3816666666667,47.504444444444,"commune in Haut-Rhin, France"
11,Q392030,item,Agay,6.8638888888889,43.434722222222,"neighborhood in Saint-Raphaël, France"
12,Q392057,item,Agdal Gardens,-7.97972222,31.60611111,Moroccan cultural heritage site
13,Q392075,item,Bendorf,7.2816666666667,47.4875,"commune in Haut-Rhin, France"
14,Q392077,item,Gate of Saint Alban,7.60325,47.5534,tower
15,Q392078,item,"Enfield, County Meath",-6.8301,53.4142,human settlement
16,Q392079,item,Witikon,8.5833333333333,47.366666666667,"quarter of the city of Zurich, Switzerland"
17,Q392121,item,Battle of Fehmarn,11.03566667,54.6735,1644 naval battle of the Torstenson War
18,Q392164,item,Louvatange,5.7172222222222,47.196388888889,"commune in Jura, France"
19,Q392169,item,Sentheim,7.0511111111111,47.755,"commune in Haut-Rhin, France"
20,Q392190,item,Selbhorn,12.9639,47.4439,mountain in Austria
21,Q392198,item,Lains,5.4872222222222,46.390555555556,"former commune in Jura, France"
22,Q392214,item,Largillay-Marsonnay,5.6752777777778,46.554444444444,"commune in Jura, France"
23,Q392217,item,Djedi River,2.0220555555555557,33.98997222222222,river in Algeria
24,Q392231,item,Šošůvka,16.751906034811,49.410556369195,village in Blansko District of South Moravian region
25,Q392235,item,Tandanor,-58.3503,-34.6261,shipyard
26,Q392266,item,Borek Strzeliński,17.066666666667,50.866666666667,village of Poland
27,Q392291,item,Štadión Antona Malatinského,17.591667,48.373333,football stadium
28,Q392314,item,Kadoshkino,44.419166666667,54.025833333333,"human settlement in Kadoshkinsky District, Republic of Mordovia, Russia"
29,Q392340,item,Štarnov,17.272620600277,49.686144047089,village in Olomouc District of Olomouc region
30,Q392429,item,Šternberk,17.298931346408,49.73045283333,Czech city
31,Q392432,item,Štiavnické Bane,18.87,48.43916667,municipality of Slovakia
32,Q392578,item,Štěnovický Borek,13.426814243869,49.649764342729,village in Plzeň-město District of Plzeň region
33,Q392703,item,The National Archives,-0.2797,51.48106,repository of archival information for the United Kingdom
34,Q392713,item,Essingeleden,18.01111111,59.345,motorway in central Sweden
35,Q392748,item,Šveicarija,24.2611,55.0472,village in Lithuania
36,Q392766,item,Mount Yasur,169.44166666667,-19.533333333333,mountain (volcano) in Vanuatu
37,Q392798,item,Kuran,54.660556,27.006389,village in Iran
