,id,type,english_label,longitude,latitude,english_desc
0,Q163893,item,La Croix-Valmer,6.5680555555556,43.207777777778,"commune in Var, France"
1,Q163911,item,Wolf Creek Generating Station,-95.6889,38.2389,"Nuclear power plant in Coffey County, Kansas"
2,Q163924,item,Bořislav,13.929300602292,50.579442418989,village in Teplice District of Ústí nad Labem region
3,Q163929,item,Roman Catholic Diocese of Sumbe,13.835778,-11.201667,Catholic ecclesiastical territory
4,Q163962,item,Beijingnan railway station,116.372573,39.863546,"railway station in Beijing, China"
5,Q164003,item,"San Buenaventura, La Paz",-67.54083333,-14.43472222,city
6,Q164070,item,Strait of Otranto,18.925556,40.219444,strait that connects the Adriatic Sea with the Ionian Sea and separates Italy from Albania
7,Q164121,item,Llaima,-71.730445,-38.697407,mountain
8,Q164133,item,La Cuba,-0.2979842,40.5914927,municipality of Spain
9,Q164193,item,Lviv Oblast,23.950277777778,49.7175,administrative division (oblast) in western Ukraine
10,Q164289,item,Saint John's Church,18.06444444,59.33944444,"Church of Sweden church building in Stockholm, Sweden"
11,Q164421,item,Connacht,-9.05,53.78,province in Ireland
12,Q164471,item,Jiřetín pod Jedlovou,14.575194251298,50.874517890076,village in Děčín District of Ústí nad Labem region
13,Q164479,item,Okrouhlice,15.490871457825,49.629964761597,village in Havlíčkův Brod District of Vysočina region
14,Q164516,item,Ždírec,15.641976700824,49.629209543628,village in Havlíčkův Brod District of Vysočina region
15,Q164561,item,Fichtelberg,12.954166666667,50.429444444444,mountain
16,Q164564,item,Budíkov,15.362641336822,49.579197085564,village in Pelhřimov District of Vysočina region
17,Q164590,item,Květinov,15.507344625233,49.564702102252,village in Havlíčkův Brod District of Vysočina region
18,Q164717,item,Angat Dam,121.16,14.90805556,dam in the Philippines
19,Q164877,item,1000 de La Gauchetière,-73.5663,45.4982,"skyscraper in Montreal, Quebec, Canada"
20,Q164912,item,Castrum Vitudurum,8.75571,47.50279,castrum
21,Q165008,item,German New Guinea,152.1606,-4.2149,colonial protectorate of the German Empire from 1884 to 1919 comprising the northeastern part of the island of New Guinea and its various nearby islands
22,Q165010,item,Velké Hoštice,17.973849111564,49.936084437581,village in Opava District of Moravian Silesian region
23,Q165036,item,Irschenberg,11.916666666667,47.833333333333,municipality of Germany
24,Q165041,item,Jonzier-Épagny,5.9897222222222,46.070555555556,"commune in Haute-Savoie, France"
25,Q165146,item,Lien Khuong Airport,108.373611,11.750556,International Airport
26,Q165286,item,HMS Serapis,49.841944444444,-17.0025,Roebuck-class ship
27,Q165380,item,Hann. Münden,9.65,51.416666666667,city and independent municipality in Lower Saxony
28,Q165570,item,Lelantine Plain,23.658333,38.434167,plain
29,Q165614,item,"Baden, Lower Saxony",9.0833333333333,53.0,human settlement in Germany
30,Q165662,item,Elburg,5.85,52.4333,"municipality in Gelderland, the Netherlands"
31,Q165707,item,Schwarzbach,8.392589,50.23226,"right tributary of Main river, Germany"
32,Q165767,item,Torre de guaita de Tous,-0.666317,39.1529,tower
33,Q165783,item,British Antarctic Territory,-50.0,-75.0,sector of Antarctica claimed by the United Kingdom as one of its British Overseas Territories
34,Q165839,item,Danziger Höhe District,18.01638888888889,54.195277777777775,district of Prussia
35,Q165887,item,Emmaus,34.989458,31.8393,small village near Jerusalem
36,Q165892,item,Gaflenz,14.72523,47.89609,"municipality in Steyr-Land District, Upper Austria, Austria"
37,Q166004,item,North German Plain,10.4,53.6,plain in Germany
38,Q166050,item,Nový Telečkov,15.938374875833,49.321211672268,village in Třebíč District of Vysočina region
39,Q166126,item,Kobojango,28.728819,-21.832697,village in Botswana
40,Q166127,item,SS Rotterdam,4.47417,51.89778,Dutch passenger ship turned into museum and hotel ship
41,Q166145,item,Karsina,16.49916667,54.08888889,village of Poland
42,Q166162,item,Lake Onega,35.655555555556,61.690555555556,"freshwater lake in Russia, second largest in Europe"
43,Q166227,item,Brody Ghetto,25.15,50.083333,Nazi ghetto in occupied Poland
44,Q166248,item,Pyramid of Khui,30.87166667,27.30777778,smooth-sided pyramid
45,Q166292,item,Duke's Chair,14.3465,46.6909,
