,id,type,english_label,longitude,latitude,english_desc
0,Q1225038,item,Veleliby,15.021388888889,50.21,village in Nymburk District of Central Bohemian region
1,Q1225087,item,,31.84,55.329166666667,"human settlement in Demidovsky District, Smolensk Oblast, Russia"
2,Q1225150,item,Leubnitz-Neuostra,13.7667,51.01,statistical city district
3,Q1225253,item,MiniBooNE,-88.269513,41.8380722,neutrino physics experiment
4,Q1225305,item,Dikika,40.5833,11.0833,human settlement
5,Q1225310,item,Dikgatlong Local Municipality,24.516666666667,-28.533333333333,"local municipality in the Northern Cape, South Africa"
6,Q1225319,item,Dikome-Balue,9.241174,4.912648,commune of Cameroon
7,Q1225372,item,Dikti,25.5,35.116667,mountain range
8,Q1225381,item,Trolleybuses in Tehran,51.4481,35.7014,
9,Q1225443,item,Dilbarjin,66.52638889,37.0225,ancient town in Afghanistan
10,Q1225466,item,canton of Argelès-sur-Mer,3.0205555555556,42.541388888889,canton of France (until March 2015)
11,Q1225473,item,,41.83138888888889,38.08138888888889,
12,Q1225487,item,Vroil,4.9127777777778,48.842222222222,"commune in Marne, France"
13,Q1225535,item,Lassay-les-Châteaux,-0.49611111111111,48.4375,"commune in Mayenne, France"
14,Q1225591,item,Chantenay-Villedieu,-0.16111111111111,47.920833333333,"commune in Sarthe, France"
15,Q1225649,item,Mée,-0.86055555555556,47.797222222222,"commune in Mayenne, France"
16,Q1225658,item,Vavray-le-Petit,4.7136111111111,48.805555555556,"commune in Marne, France"
17,Q1225823,item,Combe Martin,-4.02,51.19,village in the United Kingdom
18,Q1225862,item,,31.469444444444,55.340555555556,"human settlement in Demidovsky District, Smolensk Oblast, Russia"
19,Q1225920,item,Optina Pustyn,35.831944444444,54.053333333333,Eastern Orthodox monastery for men near Kozelsk in Russia
20,Q1225968,item,Villaines-la-Gonais,0.60166666666667,48.136111111111,"commune in Sarthe, France"
21,Q1226043,item,Lavaré,0.64472222222222,48.053333333333,"commune in Sarthe, France"
22,Q1226067,item,Savigné-l'Évêque,0.29694444444444,48.076388888889,"commune in Sarthe, France"
